sample,original
PR_H040-21,Peak_Rating_241018_IP_HAM-CSF_RP-pos_127_H040-21raw_(F123)
PR_H040-22,Peak_Rating_241018_IP_HAM-CSF_RP-pos_136_H040-22raw_(F132)
PR_H040-23,Peak_Rating_241018_IP_HAM-CSF_RP-pos_144_H040-23raw_(F140)
PR_H040-24,Peak_Rating_241018_IP_HAM-CSF_RP-pos_152_H040-24raw_(F148)
PR_H040-25,Peak_Rating_241018_IP_HAM-CSF_RP-pos_61_H040-25raw_(F57)
PR_H040-26,Peak_Rating_241018_IP_HAM-CSF_RP-pos_70_H040-26raw_(F66)
PR_H040-27,Peak_Rating_241018_IP_HAM-CSF_RP-pos_78_H040-27raw_(F74)
PR_H040-28,Peak_Rating_241018_IP_HAM-CSF_RP-pos_87_H040-28raw_(F83)
PR_H040-29,Peak_Rating_241018_IP_HAM-CSF_RP-pos_95_H040-29raw_(F91)
PR_H040-30,Peak_Rating_241018_IP_HAM-CSF_RP-pos_103_H040-30raw_(F99)
PR_H040-31,Peak_Rating_241018_IP_HAM-CSF_RP-pos_111_H040-31raw_(F107)
PR_H040-32,Peak_Rating_241018_IP_HAM-CSF_RP-pos_120_H040-32raw_(F116)
PR_H040-33,Peak_Rating_241018_IP_HAM-CSF_RP-pos_128_H040-33raw_(F124)
PR_H040-34,Peak_Rating_241018_IP_HAM-CSF_RP-pos_137_H040-34raw_(F133)
PR_H040-35,Peak_Rating_241018_IP_HAM-CSF_RP-pos_145_H040-35raw_(F141)
PR_H040-36,Peak_Rating_241018_IP_HAM-CSF_RP-pos_153_H040-36raw_(F149)
PR_H040-37,Peak_Rating_241018_IP_HAM-CSF_RP-pos_62_H040-37raw_(F58)
PR_H040-38,Peak_Rating_241018_IP_HAM-CSF_RP-pos_71_H040-38raw_(F67)
PR_H040-39,Peak_Rating_241018_IP_HAM-CSF_RP-pos_79_H040-39raw_(F75)
PR_H040-40,Peak_Rating_241018_IP_HAM-CSF_RP-pos_88_H040-40raw_(F84)
